symbol,ensembl_ID,User_ID,baseMean,CTLIO-TIO_log2FC,CTLIO-TIO_adjPval,Processed data:,search_label,cio1LHL10698_L4,cio2LHL10702_L4,cio3LHL10704_L4,tio1LHL10699_L4,tio2LHL10703_L4,tio3LHL10705_L4,c-io-1-LHL10698_L4,c-io-2-LHL10702_L4,c-io-3-LHL10704_L4,t-io-1-LHL10699_L4,t-io-2-LHL10703_L4,t-io-3-LHL10705_L4
Hsp90aa1,ENSMUSG00000021270,ENSMUSG00000021270,1729.336785,0.467033611,0.999848702,,Hsp90aa1 | ENSMUSG00000021270,11.7935424,9.95788221,10.53934393,10.53496118,11.22525764,8.935700788,2636,734,7144,1051,2390,482
Eml1,ENSMUSG00000058070,ENSMUSG00000058070,1156.396194,1.082594708,0.999848702,,Eml1 | ENSMUSG00000058070,10.50188735,10.86075431,10.46707282,7.600382404,10.77730549,8.170696669,1075,1375,6794,135,1751,282
Cd81,ENSMUSG00000037706,ENSMUSG00000037706,1049.521522,1.251011536,0.999848702,,Cd81 | ENSMUSG00000037706,10.85925123,10.20551171,10.45921678,8.240646069,10.28660789,8.337271499,1378,872,6757,212,1245,317
Plekhg1,ENSMUSG00000040624,ENSMUSG00000040624,661.0061026,0.85338628,0.999848702,,Plekhg1 | ENSMUSG00000040624,9.005110377,9.457471783,10.39678146,2,9.292371597,9.632974603,379,518,6470,0,623,784
Gm28661,ENSMUSG00000102070,ENSMUSG00000102070,1875.061526,-0.589619722,0.999848702,,Gm28661 | ENSMUSG00000102070,10.22377799,10.84390469,10.52130685,10.65066572,10.18863896,11.96443623,886,1359,7055,1139,1163,3962
Cadm4,ENSMUSG00000054793,ENSMUSG00000054793,867.3834616,1.401377454,0.999848702,,Cadm4 | ENSMUSG00000054793,9.673271191,10.64305935,10.42168747,2,9.815433358,9.066178503,604,1182,6583,0,897,528
Plxnb3,ENSMUSG00000031385,ENSMUSG00000031385,1467.26348,0.434095705,0.999848702,,Plxnb3 | ENSMUSG00000031385,8.86646335,11.62470243,10.49849048,8.893720757,10.5187033,10.82473519,344,2337,6944,335,1463,1796
Dnaaf9,ENSMUSG00000027309,ENSMUSG00000027309,1242.577058,1.439716993,0.992103331,,Dnaaf9 | ENSMUSG00000027309,11.21973655,10.70151643,10.46070634,9.032062125,10.18492546,8.377167943,1770,1231,6764,369,1160,326
Rpsa,ENSMUSG00000032518,ENSMUSG00000032518,2138.838616,-0.965136168,0.999848702,,Rpsa | ENSMUSG00000032518,10.85611374,9.948060758,10.56746577,12.26494338,11.1059587,10.42245717,1375,729,7285,3493,2200,1358
Rac1,ENSMUSG00000001847,ENSMUSG00000001847,905.2542073,-0.580254683,0.999848702,,Rac1 | ENSMUSG00000001847,9.319484762,7.789667474,10.37573048,2,10.95715223,10.31586539,472,161,6376,0,1984,1261
Tmem163,ENSMUSG00000026347,ENSMUSG00000026347,626.4849277,0.738385496,0.999848702,,Tmem163 | ENSMUSG00000026347,2,10.07080261,10.32499365,2,2,10.46421773,0,794,6155,0,0,1398
Phyhipl,ENSMUSG00000037747,ENSMUSG00000037747,960.1897453,0.136895036,0.999848702,,Phyhipl | ENSMUSG00000037747,9.627388803,9.826817402,10.37730874,2,11.12675467,9.010892856,585,670,6383,0,2232,508
Arid1a,ENSMUSG00000007880,ENSMUSG00000007880,1583.108424,-0.892962695,0.999848702,,Arid1a | ENSMUSG00000007880,10.43897157,9.079760852,10.45879091,12.01111069,10.09280724,9.916319688,1029,398,6755,2929,1088,955
Rdx,ENSMUSG00000032050,ENSMUSG00000032050,1277.729953,-0.03016464,0.999848702,,Rdx | ENSMUSG00000032050,10.69101942,9.680273981,10.37888527,9.658027101,7.022416551,11.52518425,1226,605,6390,571,126,2921
Plekha1,ENSMUSG00000040268,ENSMUSG00000040268,1503.163552,0.904138309,0.999848702,,Plekha1 | ENSMUSG00000040268,11.63111305,10.35570585,10.45942967,2.768872505,10.61476,10.62381886,2355,968,6758,2,1564,1562
Gpr37,ENSMUSG00000039904,ENSMUSG00000039904,800.2217339,1.134297589,0.999848702,,Gpr37 | ENSMUSG00000039904,9.472103222,10.34376991,10.34518045,10.16389451,7.257436813,7.745482523,525,960,6242,812,149,209
