"Gene","ctl1","ctl2","ctl3","ctl4","ctl5","ctl6","ctl7","dta1","dta2","dta3","dta4","dta5","dta6","dta7","dta8","dta9","dta10","dta11","dta12","dta13","dta14","dta15","dta16","dta17","dta18","dta19","dta20","dta21","dta22","dta23","dta24","dta25","dta26","dta27","dta28","dta29","dta30","dta31","dta32","dta33","dta34","dta35","dta36","dta37","dta38","dta39","dta40","dta41","dta42","dta43","dta44","dta45","dta46"
"ENSMUSG00000020375","1","0","0","6","2","0","7","4","6","3","3","0","1","2","1","5","0","1","1","2","0","0","0","0","0","0","1","0","7","3","5","0","1","4","2","4","4","7","11","2","2","1","8","4","11","2","9","10","1","0","1","0","0"
"ENSMUSG00000020376","4","5","1","36","6","0","29","7","15","11","19","0","7","3","2","17","2","11","17","1","7","4","2","0","2","3","6","3","11","21","35","0","0","10","12","16","10","21","14","5","5","1","6","16","14","7","25","43","2","2","5","2","4"
"ENSMUSG00000020377","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020380","0","0","0","7","0","0","5","2","1","2","2","0","0","1","0","3","0","3","2","1","0","0","0","0","0","0","0","0","1","0","3","1","0","1","2","2","0","1","1","0","3","1","0","0","6","1","4","1","0","0","2","0","0"
"ENSMUSG00000020381","0","3","0","0","0","0","4","1","2","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","2","1","0","0","1","0","0","1","0","0","0","0","0","0","2","1","4","7","0","0","0","0","1"
"ENSMUSG00000020383","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020385","0","1","0","21","13","11","19","9","3","8","13","0","6","4","0","4","0","11","3","0","4","9","0","0","6","4","5","2","9","6","32","1","0","7","7","9","14","11","7","12","8","0","4","15","9","7","7","46","1","0","13","0","0"
"ENSMUSG00000020386","1","11","3","51","4","1","21","13","22","19","19","3","16","4","4","26","2","14","17","0","5","5","4","0","0","4","4","4","21","21","46","1","2","14","16","19","25","28","28","6","6","5","13","33","30","13","47","46","2","0","2","1","2"
"ENSMUSG00000020387","0","0","0","1","0","0","3","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","1","0","3","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0"
"ENSMUSG00000020388","0","1","0","1","0","0","7","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","3","1","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"ENSMUSG00000020389","0","1","0","2","3","0","9","0","2","2","0","0","0","0","0","1","0","1","2","0","2","1","1","0","0","1","0","0","4","2","5","0","0","1","0","1","3","3","1","0","3","0","1","0","5","1","8","6","0","0","0","0","0"
"ENSMUSG00000020390","1","6","1","38","9","10","65","17","18","11","8","0","19","3","0","16","1","8","11","5","10","5","0","1","2","6","7","4","16","11","27","1","0","18","7","31","17","27","25","3","0","0","9","10","20","7","27","58","1","3","2","3","4"
"ENSMUSG00000020392","0","1","0","6","1","0","10","3","3","4","3","0","3","1","0","4","0","0","2","1","1","1","0","0","0","1","1","2","2","3","5","0","0","3","6","7","10","7","5","1","3","0","3","1","9","4","16","8","5","1","1","0","0"
"ENSMUSG00000020393","0","0","0","3","1","0","1","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","2","0","0","3","0","0","2","1","1","0","3","3","0","2","0","0","1","1","1","1","5","0","0","0","1","0"
"ENSMUSG00000020395","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020396","36","43","10","326","3","5","59","82","308","76","160","14","108","29","19","154","16","109","130","34","41","12","20","4","18","35","7","6","206","102","253","8","11","136","123","212","95","55","295","52","13","22","30","87","526","83","257","162","43","9","8","15","19"
"ENSMUSG00000020397","0","3","2","20","1","3","3","1","8","7","9","0","8","4","0","9","1","2","5","2","1","1","0","0","2","1","1","0","3","4","14","0","0","2","2","5","5","6","6","1","2","2","1","1","8","3","9","10","1","1","1","1","0"
"ENSMUSG00000020399","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"ENSMUSG00000020400","0","2","0","25","0","0","20","2","9","2","3","0","2","0","0","2","3","4","6","0","2","0","0","0","1","1","1","2","5","5","5","1","1","4","2","6","6","8","16","0","1","1","2","7","7","1","5","6","3","0","1","0","1"
"ENSMUSG00000020402","9","18","3","86","1","2","48","23","54","27","30","0","26","11","4","46","3","21","23","2","3","1","4","1","1","6","5","2","39","38","52","3","4","28","21","32","43","50","67","11","19","5","28","39","66","19","96","91","7","2","4","6","3"
