"Gene_ID","Symbol","iDEP_baseMean","iDEP_log2FC","iDEP_adjPval","Loupe_Average","Loupe_log2FC","Loupe_Pval","log2FC_diff","abs_log2FC_diff"
"ENSMUSG00000028165","Cisd2","4.97386994","-0.366253203","NA","4.102399835101723","-0.6089607038847507","0.585814380574951","0.24270750088475063","0.24270750088475063"
"ENSMUSG00000028173","Wls","6.365029432","0.520964564","0.545930567","6.362905866688387","-0.1075170198865596","1","0.6284815838865596","0.6284815838865596"
"ENSMUSG00000028180","Zranb2","4.276681029","1.146819606","NA","4.939624291244932","0.021444767597572856","1","1.1253748384024271","1.1253748384024271"
"ENSMUSG00000028184","Adgrl2","9.616783718","0.54868905","0.561609979","6.781518094759992","-0.9908186520682558","0.1893019104870692","1.539507702068256","1.539507702068256"
"ENSMUSG00000028187","Rpf1","1.134991333","-0.38315836","NA","1.1721142386004924","-0.12477597325347112","1","-0.25838238674652886","0.25838238674652886"
"ENSMUSG00000028194","Ddah1","1.402326006","-1.595467327","NA","2.260506031586664","0.42280732997934023","0.7509932214049336","-2.01827465697934","2.01827465697934"
"ENSMUSG00000028207","Asph","69.04694491","0.783138418","0.011981294","81.54566202834854","0.024110666183479346","0.9547335126509707","0.7590277518165206","0.7590277518165206"
"ENSMUSG00000028212","Ccne2","0.709266508","0.462968108","NA","1.3395591298291343","0.5000983661723883","0.7110677949076822","-0.03713025817238835","0.03713025817238835"
"ENSMUSG00000028221","Pip4p2","1.427256285","-0.579019319","NA","1.6744489122864177","-0.15912747804424798","1","-0.41989184095575205","0.41989184095575205"
"ENSMUSG00000028222","Calb1","307.9324894","-0.060729819","0.866924311","326.43381545023715","-0.5065750892997052","0.4988737473496612","0.44584527029970517","0.44584527029970517"
"ENSMUSG00000028224","Nbn","0.925807493","-0.3004198","NA","0.8372244561432088","-0.5547475234958512","0.806256007705488","0.2543277234958512","0.2543277234958512"
"ENSMUSG00000028226","Mmp16","0.844079136","-0.644327941","NA","1.0883917929861715","1.0632649432922001","0.572845930735846","-1.7075928842922001","1.7075928842922001"
"ENSMUSG00000028229","Rmdn1","1.048235147","-0.786540621","NA","0.9209469017575298","-0.4467040681408334","0.8659015229084936","-0.3398365528591666","0.3398365528591666"
"ENSMUSG00000028232","Tmem68","1.975060515","0.096618035","NA","2.5116733684296264","-0.13705905476491442","1","0.23367708976491441","0.23367708976491441"
"ENSMUSG00000028243","Ubxn2b","1.446781159","0.043817579","NA","1.0883917929861715","-0.6174565402343869","0.6978660845326994","0.661274119234387","0.661274119234387"
"ENSMUSG00000028245","Nsmaf","1.152207785","0.653166515","NA","1.9256162491293805","0.66154882251119","0.4590950643799462","-0.008382307511189957","0.008382307511189957"
"ENSMUSG00000028246","Faxc","1.559985808","-0.265778936","NA","1.7581713579007385","-0.25247795437895737","1","-0.013300981621042651","0.013300981621042651"
"ENSMUSG00000028247","Coq3","1.410277968","0.157190855","NA","1.0046693473718507","-0.4480405157036474","0.9049009922790768","0.6052313707036474","0.6052313707036474"
"ENSMUSG00000028248","Pnisr","15.10081574","1.678311006","0.086028328","11.386252603547641","-0.05644689150565574","1","1.7347578975056557","1.7347578975056557"
"ENSMUSG00000028249","Sdcbp","4.544096324","0.403168455","NA","7.283852768445917","0.29897874312648165","0.585814380574951","0.10418971187351833","0.10418971187351833"
"ENSMUSG00000028251","Tstd3","1.435135545","-0.826475508","NA","1.3395591298291343","-0.9000811743793423","0.3600630641540213","0.0736056663793423","0.0736056663793423"
"ENSMUSG00000028252","Ccnc","2.006907388","0.475975269","NA","2.260506031586664","0.08463859408476693","0.9783657511697529","0.39133667491523305","0.39133667491523305"
