FeatureID,FeatureName,dtcl calca8 Average,dtcl calca8 Log2 Fold Change,dtcl calca8 P-Value,dtdt caca Average,dtdt caca Log2 Fold Change,dtdt caca P-Value
ENSMUSG00000035024,Ncapd3,2.5116733684296264,0.7584103617637789,0.4322792588657209,1.4221592016438551,-0.7584103617637789,0.4322792588657209
ENSMUSG00000023048,Prr13,3.3488978245728354,0.7584103617637789,0.18018286501221326,1.885906767397286,-0.7584103617637789,0.1801828650122134
ENSMUSG00000029104,Htt,5.6931263017738205,0.7584103617637787,0.1536402021219595,3.184399951506893,-0.7584103617637787,0.1536402021219595
ENSMUSG00000038982,Bloc1s5,2.093061140358022,0.7584103617637787,0.3149587710386799,1.1902854187671397,-0.7584103617637787,0.3149587710386799
ENSMUSG00000033065,Pfkm,14.23281575443455,0.7584103617637785,0.018089759222882563,7.9146251221918895,-0.7584103617637785,0.018089759222882563
ENSMUSG00000034730,Adgrb1,11.302530157933319,0.7548786707935258,0.0997767978642254,6.306966894246662,-0.7548786707935258,0.0997767978642254
ENSMUSG00000038437,Mllt6,6.279183421074067,0.7520965878315766,0.12998944937495066,3.524481499726076,-0.7520965878315766,0.12998944937495066
ENSMUSG00000024773,Atg2a,4.688456954401969,0.7499981219475789,0.14655407341296262,2.643361124794557,-0.7499981219475789,0.14655407341296262
ENSMUSG00000029455,Aldh2,4.102399835101723,0.7488243129345808,0.18383141544360573,2.318737828767155,-0.7488243129345808,0.18383141544360573
ENSMUSG00000041757,Plekha6,3.76751005264444,0.7479937458184405,0.30847621250929097,2.1332388024657827,-0.7479937458184405,0.30847621250929097
ENSMUSG00000056476,Med12l,3.683787607030119,0.7477631175642707,0.30067786529454704,2.0868640458904397,-0.7477631175642707,0.30067786529454704
ENSMUSG00000024498,Tcerg1,3.683787607030119,0.7477631175642707,0.18451475010079163,2.0868640458904397,-0.7477631175642707,0.18451475010079163
ENSMUSG00000037703,Lzts3,2.930285596501231,0.7451135391503213,0.3510462082098546,1.6694912367123516,-0.7451135391503213,0.3510462082098546
ENSMUSG00000022314,Rad21,2.5953958140439477,0.7434600202978077,0.3201775262644257,1.4839922104109793,-0.7434600202978077,0.3201775262644257
ENSMUSG00000024558,Mapk4,2.5953958140439477,0.7434600202978077,0.3299612770056262,1.4839922104109793,-0.7434600202978077,0.3299612770056262
ENSMUSG00000038777,Sema6c,2.3442284772009847,0.74192223897521,0.2811145526718251,1.34486794068495,-0.74192223897521,0.2811145526718251
ENSMUSG00000017664,Slc35c2,2.260506031586664,0.7413368484048376,0.40465026723567843,1.2984931841096068,-0.7413368484048376,0.40465026723567843
ENSMUSG00000030657,Xylt1,2.176783585972343,0.7407083600303201,0.29435124948582486,1.2521184275342638,-0.7407083600303201,0.29435124948582486
ENSMUSG00000028102,Pex11b,2.093061140358022,0.7400318324489241,0.3268309400636546,1.2057436709589207,-0.7400318324489241,0.3268309400636546
ENSMUSG00000030590,Fam98c,4.269844726330366,0.7400318324489241,0.21690794312301725,2.4269455941096223,-0.7400318324489241,0.21690794312301725
ENSMUSG00000035172,Plekhh3,2.093061140358022,0.7400318324489241,0.3861716243836415,1.2057436709589207,-0.7400318324489241,0.3861716243836415
ENSMUSG00000035851,Ythdc1,1.9256162491293805,0.738510804326074,0.39873286629933474,1.1129941578082345,-0.738510804326074,0.39873286629933474
ENSMUSG00000029703,Lrwd1,1.9256162491293805,0.738510804326074,0.3861716243836415,1.1129941578082345,-0.738510804326074,0.3861716243836415
ENSMUSG00000048832,Vps37c,1.9256162491293805,0.738510804326074,0.3930241914231476,1.1129941578082345,-0.738510804326074,0.3930241914231476
ENSMUSG00000030707,Coro1a,1.7581713579007385,0.7367152906644601,0.5864127093486695,1.0202446446575482,-0.7367152906644601,0.5864127093486695
ENSMUSG00000051177,Plcb1,3.432620270187156,0.7356902852636957,0.2501079007047346,1.9631980283561914,-0.7356902852636957,0.2501079007047346
ENSMUSG00000057637,Prdm2,1.6744489122864177,0.7356902852636956,0.4379706077047081,0.9738698880822051,-0.7356902852636956,0.4379706077047081
ENSMUSG00000031398,Plxna3,1.6744489122864177,0.7356902852636956,0.4768639014452592,0.9738698880822051,-0.7356902852636956,0.4768639014452592
ENSMUSG00000021143,Pacs2,1.507004021057776,0.7333193808009485,0.46235952051548446,0.881120374931519,-0.7333193808009485,0.46235952051548446
ENSMUSG00000046139,Patl1,2.930285596501231,0.731938150402588,0.22002007480806443,1.6849494889041328,-0.731938150402588,0.22002007480806443
ENSMUSG00000025647,Shisa5,1.4232815754434551,0.7319381504025879,0.5635309736349104,0.8347456183561758,-0.7319381504025879,0.5635309736349065
ENSMUSG00000022946,Dop1b,2.7628407052725894,0.7303959855941824,0.2501079007047346,1.5921999757534464,-0.7303959855941824,0.2501079007047346
ENSMUSG00000029501,Ankle2,2.6791182596582686,0.7295554990915938,0.27317488526584743,1.5458252191781034,-0.7295554990915938,0.27317488526584743
ENSMUSG00000052917,Senp7,2.5953958140439477,0.7286630183697271,0.2559781849412221,1.4994504626027603,-0.7286630183697271,0.2559781849412221
ENSMUSG00000001763,Tspan33,1.2558366842148132,0.728663018369727,0.5879341637733965,0.7419961052054896,-0.728663018369727,0.5879341637733965
ENSMUSG00000030527,Crtc3,1.2558366842148132,0.728663018369727,0.585814380574951,0.7419961052054896,-0.728663018369727,0.585814380574951
ENSMUSG00000048410,Zfp407,1.2558366842148132,0.728663018369727,0.6282353829401269,0.7419961052054896,-0.728663018369727,0.6282353829401269
ENSMUSG00000031365,Zfp275,1.2558366842148132,0.728663018369727,0.5347141242221038,0.7419961052054896,-0.728663018369727,0.5347141242221038
ENSMUSG00000038784,Cnot4,3.851232498258761,0.72803671272026,0.20862104685499908,2.210530063424688,-0.72803671272026,0.20862104685499908
ENSMUSG00000030322,Mbd4,1.1721142386004924,0.7267015020364407,0.585814380574951,0.6956213486301466,-0.7267015020364407,0.585814380574951
ENSMUSG00000017774,Myo1c,1.1721142386004924,0.7267015020364407,0.5809049215156892,0.6956213486301466,-0.7267015020364407,0.5809049215156892
ENSMUSG00000052428,Tmco1,3.600065161415798,0.7259888840714015,0.18018286501221326,2.0714057936986587,-0.7259888840714015,0.1801828650122134
ENSMUSG00000066152,Slc31a2,3.600065161415798,0.7259888840714015,0.311748323833726,2.0714057936986587,-0.7259888840714015,0.311748323833726
ENSMUSG00000021273,Fdft1,2.3442284772009847,0.7256204266461096,0.4711343079352445,1.360326192876731,-0.7256204266461096,0.4711343079352445
ENSMUSG00000029723,Tsc22d4,4.772179400016291,0.7256204266461095,0.20862104685499908,2.736110637945243,-0.7256204266461095,0.20862104685499908
ENSMUSG00000056692,Ilrun,5.944293638616783,0.7253953045358159,0.18018286501221326,3.4008154821918275,-0.7253953045358159,0.1801828650122134
ENSMUSG00000016262,Sertad4,1.0883917929861715,0.7244630298404414,0.5586611349275757,0.6492465920548034,-0.7244630298404414,0.5586611349275757
ENSMUSG00000044647,Csrnp3,1.0883917929861715,0.7244630298404414,0.5586611349275757,0.6492465920548034,-0.7244630298404414,0.5586611349275757
ENSMUSG00000027931,Npr1,1.0883917929861715,0.7244630298404414,0.5586611349275757,0.6492465920548034,-0.7244630298404414,0.5586611349275757
