Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000071649,B3gat3,0.14307706716378865,0.7686705394343583,0.011450038060281423,0.08395185418610371,-0.7686705394343583,0.011450038060276207
ENSMUSG00000071648,Rom1,0.01712222418064479,0.15564034188381903,0.7570731665066651,0.015343045046030557,-0.15564034188381903,0.7570731665066651
ENSMUSG00000071647,Eml3,0.027730258063160585,-0.9949924105051222,0.00008769016874622322,0.05524887875985607,0.9949924105051222,0.00008769016874622322
ENSMUSG00000071646,Mta2,0.19698856139331483,-0.001697728517991326,1,0.19719813904966257,0.001697728517991326,1
ENSMUSG00000071645,Tut1,0.06114487326545284,0.3574201554657739,0.2813880773742262,0.047699126435618806,-0.3574201554657739,0.2813880773742262
ENSMUSG00000071644,Eef1g,0.05046077134336229,-0.30329368853825045,0.31549774621293325,0.06224196731825095,0.30329368853825045,0.315497746212902
ENSMUSG00000069833,Ahnak,0.007696702549700183,-4.771544158852154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057078230228370896,0.21038411200305393,4.771544158852154,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000057078230228370896
ENSMUSG00000024653,Scgb1a1,0.000006915276324977702,-1.3308352519711129,1,0,1.3308352519711129,1
ENSMUSG00000024654,Asrgl1,0.0657158709162631,-2.0119020710688527,0.0000000000000000006832845811379749,0.26504153551170245,2.0119020710688527,0.0000000000000000006832845811378972
ENSMUSG00000024660,Incenp,0.04298535763606139,0.4557843157527941,0.18552658133082586,0.03131233682863379,-0.4557843157527941,0.18552658133082586
ENSMUSG00000024661,Fth1,0.0978165836168096,-2.061381861679258,0.00000000000000000006886105842169241,0.4082780807600195,2.061381861679258,0.00000000000000000006886105842169437
ENSMUSG00000037418,Best1,0.001141020593621321,-2.8686851568541494,0.00000000000000000000004034080532122712,0.008349956487635677,2.8686851568541494,0.00000000000000000000004034080532122712
ENSMUSG00000024663,Rab3il1,0.015656185599749517,-2.467469943992959,0.0000000000000000000000000020584621727011907,0.08659600707385501,2.467469943992959,0.000000000000000000000000002058462172701483
ENSMUSG00000024664,Fads3,0.12506277233722174,0.442153150106499,0.16843437748473675,0.0920234787908182,-0.442153150106499,0.16843437748473433
ENSMUSG00000024665,Fads2,0.15631982132612096,-2.286179849428823,0.0000000000000000000000005755772402854568,0.7624901932625979,2.286179849428823,0.0000000000000000000000005755772402853423
ENSMUSG00000010663,Fads1,0.12128703146378392,-1.3046067288062513,0.000000051096510927076224,0.29958948047929507,1.3046067288062513,0.00000005109651092706316
ENSMUSG00000024742,Fen1,0.03111182818607468,0.028441001688553236,1,0.030477341179870224,-0.028441001688553236,1
ENSMUSG00000036372,Tmem258,0.0748647814942086,-0.5651139438963728,0.03893169367337839,0.11074129791726817,0.5651139438963728,0.03893169367339609
ENSMUSG00000036098,Myrf,0.025503539086517764,-4.274509813482725,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000002031637491255319,0.49369117733145945,4.274509813482725,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000002031637491255319
ENSMUSG00000035735,Dagla,0.18292980462463515,1.522735077194386,0.0000005277460455757517,0.0636336267328569,-1.522735077194386,0.0000005277460455757517
ENSMUSG00000024743,Syt7,0.9306025656048993,2.2851294407323577,0.0000000000002764757714747925,0.19090088019857068,-2.2851294407323577,0.0000000000002764757714748632
ENSMUSG00000090291,Lrrc10b,0.0002835263293240858,-3.6250183563755716,0.00000000000000000000009411374433673554,0.003548731507245163,3.6250183563755716,0.00000000000000000000009411374433673554
ENSMUSG00000035179,Ppp1r32,0.0046954726246598594,0.37811596602549624,0.35887743569363234,0.0035835229926103117,-0.37811596602549624,0.35887743569363234
ENSMUSG00000024668,Sdhaf2,0.07839157241994724,0.28694790102756684,0.40466979443359946,0.06422508198406442,-0.28694790102756684,0.4046697944336447
ENSMUSG00000034820,Cpsf7,0.3700433514258818,0.5750312190393985,0.06377134673800512,0.24837641402179625,-0.5750312190393985,0.06377134673801224
ENSMUSG00000024667,Tmem216,0.014390690032278598,0.05629448078465504,1,0.013812219689964017,-0.05629448078465504,1
ENSMUSG00000024666,Tmem138,0.02112616917280688,-0.34024621189719095,0.2345213972444461,0.02671986076043417,0.34024621189719095,0.2345213972444461
ENSMUSG00000034445,Cyb561a3,0.022827327148751395,-1.147522400977449,0.000004309313561300694,0.050552028235561,1.147522400977449,0.000004309313561302164
ENSMUSG00000034371,Tkfc,0.01814568507674149,-0.1724058893666296,0.5651661873943808,0.02042260190934226,0.1724058893666296,0.5651661873943078
ENSMUSG00000024740,Ddb1,0.06736862195793278,-0.28952889223329015,0.33860430060456276,0.08231665437394173,0.28952889223329015,0.33860430060456276
ENSMUSG00000043789,Vwce,0.002434177266392151,0.5781002696224302,0.1823763018121904,0.0016004083267968383,-0.5781002696224302,0.1823763018121904
ENSMUSG00000024738,Pga5,0.000013830552649955404,-1.7458727512499568,0.5463319124195366,0.00003479148536514866,1.7458727512499568,0.5463319124195366
ENSMUSG00000048832,Vps37c,0.08126832737113796,-0.06512238479520827,0.8750674214397262,0.08499559874705817,0.06512238479520827,0.8750674214397262
ENSMUSG00000024669,Cd5,0.0010234608960967,-0.5379314862110487,0.26762116737881325,0.0014612423853362436,0.5379314862110487,0.26762116737881325
ENSMUSG00000024670,Cd6,0.000013830552649955404,-1.7458727512499568,0.5428296689184515,0.00003479148536514866,1.7458727512499568,0.5428296689184515
ENSMUSG00000024737,Slc15a3,0.0011963428042211424,-3.996416212900553,0.0000000000000000000000000000000000000000000000000006008648274481091,0.01917010843619691,3.996416212900553,0.0000000000000000000000000000000000000000000000000006008648274481091
ENSMUSG00000024736,Tmem132a,2.2250109033905505,2.3706720161424606,0.00000000000004512744802042424,0.43019671654006314,-2.3706720161424606,0.00000000000004512744802042424
ENSMUSG00000034659,Tmem109,0.19429851890289848,0.03001945376918913,1,0.190274633461998,-0.03001945376918913,1
ENSMUSG00000024735,Prpf19,0.20861314089560234,0.23729680430792222,0.5042037975183551,0.17694949456714607,-0.23729680430792222,0.5042037975183551
ENSMUSG00000024734,Zp1,0.000055322210599821616,-1.7458727512499568,0.10188622945347359,0.0001739574268257433,1.7458727512499568,0.10188622945347359
ENSMUSG00000034117,Ptgdr2,0.00047715406642346144,-3.54140223791077,0.000000000000000000000000000000024830343945195386,0.005601429143788934,3.54140223791077,0.000000000000000000000000000000024830343945195386
ENSMUSG00000024732,Ccdc86,0.03884310711739975,-0.2314463130664688,0.46369994800077957,0.04557684582834474,0.2314463130664688,0.46369994800079156
ENSMUSG00000067571,Ms4a15,0.00041491657949866215,3.599902085591774,0.00034571688868308435,0,-3.599902085591774,0.00034571688868308435
ENSMUSG00000024730,Ms4a8a,0.000013830552649955404,-1.7458727512499568,0.4602108597098165,0.00003479148536514866,1.7458727512499568,0.4602108597098165
ENSMUSG00000024673,Ms4a1,0.000048406934274843914,-4.6162374708333616,0.000004345256286861976,0.0013220764438756488,4.6162374708333616,0.000004345256286861976
ENSMUSG00000099398,Ms4a14,0.00008298331589973243,-2.952323628717382,0.000028895311602376447,0.0006610382219378244,2.952323628717382,0.000028895311602376447
ENSMUSG00000024672,Ms4a7,0.00043566240847359524,-4.279202483555791,0.0000000000000000000000000000000009560265100819256,0.00855870539982657,4.279202483555791,0.0000000000000000000000000000000009560265100819256
ENSMUSG00000101389,Ms4a4a,0.00015905135547448715,-4.745872751249957,0.0000000000000000000000000000004289084092693467,0.004418518641373879,4.745872751249957,0.0000000000000000000000000000004289084092693467
ENSMUSG00000024675,Ms4a4c,0.00006223748692479932,-2.593869657804907,0.0014916281411629733,0.0003827063390166352,2.593869657804907,0.0014916281411629733
ENSMUSG00000056290,Ms4a4b,0.00003457638162488851,-4.745872751249957,0.0000011181291152901333,0.0010785360463196083,4.745872751249957,0.0000011181291152901333
ENSMUSG00000079419,Ms4a6c,0.000255865224024175,-4.457947169874452,0.00000000000000000000000000000000026222640858203257,0.005740595085249528,4.457947169874452,0.00000000000000000000000000000000026222640858203257
ENSMUSG00000024677,Ms4a6b,0.00040108602684870673,-4.169291391316457,0.000000000000000000000000000000000006459039612694735,0.007306211926681218,4.169291391316457,0.000000000000000000000000000000000006459039612694735
ENSMUSG00000024678,Ms4a4d,0.000020745828974933107,-4.0312749701122055,0.0000014408101918275464,0.0004174978243817839,4.0312749701122055,0.0000014408101918275464
ENSMUSG00000024679,Ms4a6d,0.0003388485399239074,-4.1132438168984855,0.0000000000000000000000000000000007734816199365977,0.00594934399744042,4.1132438168984855,0.0000000000000000000000000000000007734816199365977
ENSMUSG00000024680,Ms4a2,0.00008298331589973243,-2.0898271524673167,0.019318560129597526,0.0003479148536514866,2.0898271524673167,0.019318560129597526
ENSMUSG00000024681,Ms4a3,0.000020745828974933107,-0.33083525197111285,1,0,0.33083525197111285,1
ENSMUSG00000055895,Oosp2,0.00007606803957475472,-0.7458727512499568,0.6314018778853656,0.00010437445609544597,0.7458727512499568,0.6314018778853656
ENSMUSG00000041857,Oosp1,0.00008298331589973243,0.3696044661699798,1,0.00003479148536514866,-0.3696044661699798,1
ENSMUSG00000024682,Cblif,0.000006915276324977702,-1.3308352519711129,1,0,1.3308352519711129,1
