Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000055761,Nkain3,0.05875801218886105,-1.941315061864974,0.0000000000000000000000000000280714046263874,0.22575728505376666,1.941315061864974,0.0000000000000000000000000000280714046263874
ENSMUSG00000040478,Prdm13,0.004459701270125482,2.024439715481991,0.00000000000008567306382241447,0.0010893330178901206,-2.024439715481991,0.00000000000008567306382241447
ENSMUSG00000028252,Ccnc,0.27522727838488686,-0.5265282586909839,0.0014509480585311496,0.3964753210882389,0.5265282586909839,0.0014509480585311496
ENSMUSG00000028251,Tstd3,0.1249295537618268,-0.8228592963579597,0.0000007237853351626837,0.22102287616832114,0.8228592963579597,0.0000007237853351631351
ENSMUSG00000040455,Usp45,0.20366934436878253,-0.7559033293761606,0.000004388115614924776,0.34396388330276645,0.7559033293761606,0.000004388115614923279
ENSMUSG00000028248,Pnisr,2.070170162312923,0.3571857109469736,0.026090159793021248,1.6161372585033673,-0.3571857109469736,0.026090159793021248
ENSMUSG00000028247,Coq3,0.10882829463072441,-0.9555595448320893,0.000000008832362505388525,0.21109318673601504,0.9555595448320893,0.000000008832362505380994
ENSMUSG00000028246,Faxc,0.12406078078712703,-2.133455966696001,0.00000000000000000000000000000000009379708493581138,0.5444430560183137,2.133455966696001,0.00000000000000000000000000000000009379708493578471
ENSMUSG00000040410,Fbxl4,0.1859174165857506,-0.18339675786571963,0.3041954790425216,0.21113508415978005,0.18339675786571963,0.3041954790425216
ENSMUSG00000095139,Pou3f2,0.17230663998212087,0.8047428332005024,0.00000019505538689442202,0.0986405013507426,-0.8047428332005024,0.00000019505538689442202
ENSMUSG00000045751,Mms22l,0.04401783071812164,2.2763867629437167,0.00000000000000000000000000000000000000000008626981736066715,0.009077775149084338,-2.2763867629437167,0.00000000000000000000000000000000000000000008626981736066715
ENSMUSG00000040387,Klhl32,0.16133114140174712,-1.1521696172211022,0.000000000003633530738996622,0.3586000500046747,1.1521696172211022,0.000000000003633530738995589
ENSMUSG00000028261,Ndufaf4,0.17346500394838724,-0.6155381815323797,0.00019871517250960225,0.2657972563651894,0.6155381815323797,0.00019871517250960225
ENSMUSG00000028259,Fhl5,0.006399960913621633,2.67658692329265,0.000000000000000013162781042843286,0.0009915723624384432,-2.67658692329265,0.000000000000000013162781042843286
ENSMUSG00000040359,Ufl1,0.4228607658855343,0.5893003730678257,0.00015628183690443784,0.28106188442357277,-0.5893003730678257,0.00015628183690443784
ENSMUSG00000055373,Fut9,0.36317606252366014,-1.0042186750137274,0.0000000010959180959946274,0.7285124044259007,1.0042186750137274,0.0000000010959180959951257
ENSMUSG00000040520,Manea,0.33517261363917095,0.7889577905560647,0.00000028800297065802137,0.1939850720319715,-0.7889577905560647,0.00000028800297065802137
ENSMUSG00000028289,Epha7,0.1002274421811967,-2.208670634784636,0.0000000000000000000000000000000000009503171154054613,0.46341343845679467,2.208670634784636,0.0000000000000000000000000000000000009503171154056775
ENSMUSG00000028284,Map3k7,0.20161324832865976,0.3029985827047761,0.06494376010056398,0.16342788429936145,-0.3029985827047761,0.06494376010056398
ENSMUSG00000040270,Bach2,0.2427351691311155,0.6967914685010141,0.000006975421331591715,0.14975535834404827,-0.6967914685010141,0.000006975421331591715
ENSMUSG00000051056,Gja10,0.0004633455865065435,0.281577904507623,0.7120799696290635,0.00039104262180671,-0.281577904507623,0.7120799696290635
ENSMUSG00000028282,Casp8ap2,0.12232323483772749,0.6012264532509826,0.0001373036064016374,0.08063857493971227,-0.6012264532509826,0.0001373036064016374
ENSMUSG00000058006,Mdn1,0.17054013493356468,-0.6712603811991407,0.0000464255271401417,0.2716070324606034,0.6712603811991407,0.00004642552714016545
ENSMUSG00000045854,Lyrm2,0.20980867338999423,0.44500468714401276,0.005430063386056259,0.15412665622353042,-0.44500468714401276,0.0054300633860596345
ENSMUSG00000040183,Ankrd6,0.12617479502556314,-1.3699590562917194,0.0000000000000002820891786787777,0.32617144401056114,1.3699590562917194,0.00000000000000028208917867897014
ENSMUSG00000028278,Rragd,0.0726294206849007,-1.544701265588058,0.00000000000000000009310568888041122,0.21195906682715848,1.544701265588058,0.00000000000000000009310568888041122
ENSMUSG00000028277,Ube2j1,0.17062701223103466,-1.2772552831774922,0.000000000000019147830337689662,0.4136113674081258,1.2772552831774922,0.000000000000019147830337689662
ENSMUSG00000023267,Gabrr2,0.004980965054945343,1.3677832132980736,0.000000002963083180454956,0.0019272814931902134,-1.3677832132980736,0.000000002963083180454956
ENSMUSG00000028280,Gabrr1,0.0006660592806031564,-0.3171377512808622,0.4675377157379556,0.000851914283221761,0.3171377512808622,0.4675377157379556
