gene_id,gene,dta1,dta2,dta3,dta4,dta5,dta6,dta7,dta8,dta9,dta10,dta11,dta12,dta13,dta14,dta15,dta16,dta17,dta18,dta19,dta20,dta21,dta22,dta23,dta24,dta25,dta26,dta27,dta28,dta29,dta30,dta31,dta32,dta33,dta34,dta35,dta36,dta37,dta38,dta39,dta40,dta41,dta42,dta43,dta44,dta45,dta46,,dta1,dta2,dta3
ENSMUSG00000000308,Ckmt1,41,71,35,56,4,38,12,8,68,9,34,64,13,8,4,6,0,4,15,15,6,59,55,101,5,8,31,49,90,45,101,91,4,10,6,11,54,94,45,146,135,16,1,5,2,12,,147,139,6
ENSMUSG00000000317,Bcl6b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000320,Alox12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,1,0
ENSMUSG00000000326,Comt,2,18,7,12,1,13,4,2,19,1,5,11,4,6,6,2,1,2,6,4,1,15,17,22,0,0,17,7,15,25,23,19,6,9,4,13,26,26,13,32,39,2,1,1,0,2,,27,39,2
ENSMUSG00000000339,Rtca,4,22,2,8,0,15,2,2,24,2,8,10,6,2,2,1,1,2,2,3,2,15,9,20,0,0,13,8,16,19,20,14,7,5,1,8,20,29,3,42,34,2,0,2,0,2,,28,32,2
ENSMUSG00000000340,Dbt,5,3,1,1,0,3,0,0,3,0,1,6,1,1,0,0,0,0,0,1,2,3,1,6,0,0,1,3,1,7,2,1,0,3,0,2,4,6,4,7,12,1,1,0,1,2,,9,10,1
ENSMUSG00000000346,Dazap2,2,1,2,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,6,0,0,0,0,2,1,1,3,0,0,0,2,0,1,1,2,6,0,0,0,0,0,,5,2,0
ENSMUSG00000000355,Mcts1,2,4,4,5,0,6,1,0,3,0,2,4,1,2,2,2,0,2,1,2,2,4,5,11,0,0,3,4,14,10,9,11,1,6,0,8,9,6,3,14,21,0,0,1,1,0,,10,9,1
ENSMUSG00000000359,Rem1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000365,Rnf17,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,2,4,5,0,0,2,0,0,0,0,0,,3,5,0
ENSMUSG00000000374,Trappc10,4,10,5,9,0,4,0,0,7,3,2,7,1,2,3,1,1,3,1,2,1,8,5,9,1,0,6,11,9,14,15,14,6,3,3,3,7,17,4,20,30,1,0,3,0,1,,19,21,3
ENSMUSG00000000378,Ccm2,1,13,3,3,0,4,1,0,8,0,0,4,0,0,1,0,1,0,1,0,1,12,5,6,0,0,3,5,5,1,3,8,0,0,0,3,1,15,1,20,12,1,1,2,0,0,,17,16,3
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000384,Tbrg4,3,7,2,6,0,6,2,0,6,0,5,4,1,1,1,1,1,1,0,4,1,7,3,12,0,0,4,4,5,11,6,9,3,3,0,4,5,10,3,13,25,0,1,1,0,0,,12,13,2
ENSMUSG00000000385,Tmprss2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000392,Fap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000394,Gcg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,1,0
ENSMUSG00000000399,Ndufa9,10,17,8,12,4,18,4,1,18,1,11,14,3,1,1,2,1,2,2,3,2,15,26,22,0,0,12,13,16,18,17,17,1,5,2,2,13,28,7,41,40,1,1,1,1,3,,35,35,2
ENSMUSG00000000402,Egfl6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
ENSMUSG00000000409,Lck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
