gene_id,gene,ctl1,ctl2,ctl3,ctl4,ctl5,ctl6,ctl7
ENSMUSG00000019897,Ccdc59,0,1,0,10,2,2,15
ENSMUSG00000019899,Lama2,0,0,0,0,0,0,3
ENSMUSG00000019900,Rfx6,0,0,0,0,0,0,0
ENSMUSG00000019905,Gprc6a,0,0,0,0,0,0,0
ENSMUSG00000019906,Lin7a,0,0,0,1,0,0,48
ENSMUSG00000019907,Ppp1r12a,1,0,0,15,2,2,28
ENSMUSG00000019909,Fam162b,0,0,0,0,0,0,0
ENSMUSG00000019913,Sim1,0,0,0,0,0,0,0
ENSMUSG00000019916,P4ha1,0,0,0,4,0,1,7
ENSMUSG00000019920,Lims1,0,0,0,1,0,0,14
ENSMUSG00000019923,Zwint,3,22,1,94,2,2,76
ENSMUSG00000019927,Ube2d1,0,3,1,10,2,1,19
ENSMUSG00000019929,Dcn,0,0,0,0,0,0,0
ENSMUSG00000019932,Kera,0,0,0,0,0,0,0
ENSMUSG00000019933,Mrln,0,0,0,0,0,0,5
ENSMUSG00000019935,Slc17a8,0,0,0,0,0,0,0
ENSMUSG00000019936,Epyc,0,0,0,0,0,0,0
ENSMUSG00000019942,Cdk1,0,0,0,0,0,0,0
ENSMUSG00000019943,Atp2b1,0,6,0,16,2,0,99
ENSMUSG00000019944,Rhobtb1,0,0,0,0,0,0,1
ENSMUSG00000019945,Cabcoco1,0,0,0,0,0,0,0
ENSMUSG00000019947,Arid5b,0,1,0,1,0,0,6
ENSMUSG00000019948,Actr6,0,1,0,9,3,1,4
ENSMUSG00000019952,Poc1b,0,0,0,2,2,0,7
ENSMUSG00000019960,Dusp6,0,0,0,3,0,0,10
ENSMUSG00000019961,Tmpo,0,0,0,3,0,0,6
ENSMUSG00000019966,Kitl,3,12,10,150,6,3,15
ENSMUSG00000019969,Psen1,1,4,1,10,1,0,10
ENSMUSG00000019970,Sgk1,0,0,0,5,0,0,24
ENSMUSG00000019971,Cep290,0,0,1,7,0,0,1
ENSMUSG00000019975,Ikbip,3,1,0,5,0,0,6
ENSMUSG00000019978,Epb41l2,0,0,0,4,0,2,9
ENSMUSG00000019979,Apaf1,1,1,0,2,0,0,4
ENSMUSG00000019982,Myb,0,0,0,0,0,0,2
ENSMUSG00000019984,Med23,0,2,0,4,0,1,4
ENSMUSG00000019986,Ahi1,0,1,1,3,4,1,22
ENSMUSG00000019987,Arg1,0,0,0,0,0,0,0
ENSMUSG00000019988,Nedd1,0,1,0,0,0,0,0
ENSMUSG00000019989,Enpp3,0,0,0,0,0,0,0
ENSMUSG00000019990,Pde7b,1,0,0,5,0,0,1
ENSMUSG00000019992,Mtfr2,0,0,0,0,0,0,0
ENSMUSG00000019996,Map7,0,0,0,0,1,0,10
ENSMUSG00000019997,Ccn2,0,0,0,0,0,0,1
