Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000031060,Rbm10,0.10838763488447287,0.6927822341310961,0.022865788480569686,0.07071532783889306,-0.5850113913760295,0.10906423096486705,0.05320286778457735,-0.9517357659515442,0.41158529184056836
ENSMUSG00000001924,Uba1,0.44531461407802114,0.23426759663537733,0.5076381006484904,0.3641253345074494,-0.2886096814585153,0.48397382736763567,0.43261903804033996,-0.0047301000718535935,1
ENSMUSG00000031065,Cdk16,0.7795780292247476,1.2576360982090262,0.000022194481698237143,0.3460666626959211,-1.130956273998563,0.0008749407414156441,0.2508832480850712,-1.5199874081085256,0.05137989181321504
ENSMUSG00000031066,Usp11,0.15958494277403476,0.12089905083429686,0.7790898052849716,0.17485656263662447,0.17648149176061612,0.647183465626667,0.04132577497639953,-1.9627179715069003,0.024949203458208054
ENSMUSG00000001127,Araf,0.27834937925758424,0.5040348106891426,0.1070523792360577,0.21162506029134664,-0.36525743919000053,0.35308617552711785,0.1386203160625685,-0.955873049626768,0.4053491062609641
ENSMUSG00000037217,Syn1,0.3274727141002719,1.6855901418444459,0.000000021477441855831644,0.1177286489251553,-1.423092174950574,0.00002925700096705255,0.041976574582327085,-2.8251149314052193,0.0010356473986840315
ENSMUSG00000001131,Timp1,0.003960664246706387,-2.495610792482001,0.00000000000000000000000026775358698278696,0.02174854465763378,2.179654639084008,0.0000000000000001181039466982202,0.024567685123765077,1.9460158432778902,0.00004647967326262981
ENSMUSG00000001128,Cfp,0.3126843845486466,0.9319568713593189,0.0017494426207973076,0.18627346332516276,-0.7024311257997162,0.047124264479262906,0.07988565162760697,-1.8833390505017158,0.031880176904859434
ENSMUSG00000009406,Elk1,0.20202855840555206,0.9883081468498078,0.0008991816566542561,0.11260623720938527,-0.8011411950997407,0.021806579048183904,0.061337862858671745,-1.6253855172517078,0.07413184583086967
ENSMUSG00000001134,Uxt,0.01865882105716319,-0.1680041147661928,0.5746813349239077,0.020316005787969278,0.11078299168171224,0.7577985536909736,0.023266085911909973,0.31019547028626526,0.6445058150902068
